T;C;equ;noimp;steps;last_change;last_improve;sat_cnt;clause_cnt;init_sat_cnt
20;0.9;1;1000;1000;0;0;372;430;372
20;0.9;1;1000;1000;0;0;372;430;372
20;0.9;1;1000;1000;0;0;372;430;372
20;0.9;1;1000;1000;0;0;372;430;372
20;0.9;1;1000;1000;0;0;372;430;372
20;0.9;1;1000;1000;0;0;372;430;372
20;0.9;1;1000;1000;0;0;372;430;372
20;0.9;1;1000;1000;0;0;372;430;372
20;0.9;1;1000;1000;0;0;372;430;372
20;0.9;1;1000;1000;0;0;372;430;372
20;0.9;1;2000;2000;0;0;372;430;372
20;0.9;1;2000;2000;0;0;372;430;372
20;0.9;1;2000;2000;0;0;372;430;372
20;0.9;1;2000;2000;0;0;372;430;372
20;0.9;1;2000;2000;0;0;372;430;372
20;0.9;1;2000;2000;0;0;372;430;372
20;0.9;1;2000;2000;0;0;372;430;372
20;0.9;1;2000;2000;0;0;372;430;372
20;0.9;1;2000;2000;0;0;372;430;372
20;0.9;1;2000;2000;0;0;372;430;372
20;0.9;1;5000;5000;0;0;372;430;372
20;0.9;1;5000;5000;0;0;372;430;372
20;0.9;1;5000;5000;0;0;372;430;372
20;0.9;1;5000;5000;0;0;372;430;372
20;0.9;1;5000;5000;0;0;372;430;372
20;0.9;1;5000;5000;0;0;372;430;372
20;0.9;1;5000;5000;0;0;372;430;372
20;0.9;1;5000;5000;0;0;372;430;372
20;0.9;1;5000;5000;0;0;372;430;372
20;0.9;1;5000;5000;0;0;372;430;372
20;0.9;10;1000;2850;2844;1844;426;430;372
20;0.9;10;1000;2850;2844;1844;426;430;372
20;0.9;10;1000;2850;2844;1844;426;430;372
20;0.9;10;1000;2850;2844;1844;426;430;372
20;0.9;10;1000;2850;2844;1844;426;430;372
20;0.9;10;1000;2850;2844;1844;426;430;372
20;0.9;10;1000;2850;2844;1844;426;430;372
20;0.9;10;1000;2850;2844;1844;426;430;372
20;0.9;10;1000;2850;2844;1844;426;430;372
